run_id,seed,scenario,policy,profit,revenue,boarded_load_factor,accepted_booking_load_factor,booking_rate,avg_fare,denied_boardings,no_show_count,ticket_revenue,ancillary_revenue,total_cost
93,2119,baseline,static,10521.0,22750.0,0.46111111111111114,0.5055555555555555,0.4918918918918919,220.0,0,8,20020.0,2730.0,12229.0
94,2120,baseline,static,15383.0,29250.0,0.6055555555555555,0.65,0.6324324324324324,220.0,0,8,25740.0,3510.0,13867.0
95,2121,baseline,static,13515.0,26500.0,0.5277777777777778,0.5888888888888889,0.572972972972973,220.0,0,11,23320.0,3180.0,12985.0
96,2122,baseline,static,12391.0,25250.0,0.5166666666666667,0.5611111111111111,0.5459459459459459,220.0,0,8,22220.0,3030.0,12859.0
97,2123,baseline,static,11084.0,23250.0,0.45555555555555555,0.5166666666666667,0.5027027027027027,220.0,0,11,20460.0,2790.0,12166.0
98,2124,baseline,static,13265.0,26250.0,0.5277777777777778,0.5833333333333334,0.5675675675675675,220.0,0,10,23100.0,3150.0,12985.0
99,2125,baseline,static,15572.0,29250.0,0.5888888888888889,0.65,0.6324324324324324,220.0,0,11,25740.0,3510.0,13678.0
0,1002029,baseline,rule_based,16853.0,32736.0,0.7833333333333333,0.8555555555555555,0.8324324324324325,182.57142857142858,0,13,28116.0,4620.0,15883.0
1,1002030,baseline,rule_based,14945.0,30387.0,0.7444444444444445,0.7944444444444444,0.772972972972973,182.4965034965035,0,9,26097.0,4290.0,15442.0
2,1002031,baseline,rule_based,18575.0,34836.0,0.8166666666666667,0.9111111111111111,0.8864864864864865,182.41463414634146,0,17,29916.0,4920.0,16261.0
3,1002032,baseline,rule_based,20720.0,38241.0,0.9277777777777778,0.9944444444444445,0.9675675675675676,183.6368715083799,0,12,32871.0,5370.0,17521.0
4,1002033,baseline,rule_based,15011.0,29571.0,0.6666666666666666,0.7722222222222223,0.7513513513513513,182.74100719424462,0,19,25401.0,4170.0,14560.0
5,1002034,baseline,rule_based,14012.0,28635.0,0.6722222222222223,0.75,0.7297297297297297,182.11111111111111,0,14,24585.0,4050.0,14623.0
6,1002035,baseline,rule_based,15230.0,30168.0,0.7,0.7888888888888889,0.7675675675675676,182.45070422535213,0,16,25908.0,4260.0,14938.0
7,1002036,baseline,rule_based,21407.0,38172.0,0.8611111111111112,0.9888888888888889,0.9621621621621622,184.4494382022472,0,23,32832.0,5340.0,16765.0
8,1002037,baseline,rule_based,20318.0,37335.0,0.8833333333333333,0.9722222222222222,0.9459459459459459,183.34285714285716,0,16,32085.0,5250.0,17017.0
9,1002038,baseline,rule_based,18407.0,34668.0,0.8166666666666667,0.9,0.8756756756756757,184.0,0,15,29808.0,4860.0,16261.0
10,1002039,baseline,rule_based,14660.0,30606.0,0.7888888888888889,0.8,0.7783783783783784,182.54166666666666,0,2,26286.0,4320.0,15946.0
11,1002040,baseline,rule_based,17348.0,33105.0,0.7722222222222223,0.8611111111111112,0.8378378378378378,183.58064516129033,0,16,28455.0,4650.0,15757.0
12,1002041,baseline,rule_based,17762.0,33393.0,0.7611111111111111,0.8722222222222222,0.8486486486486486,182.69426751592357,0,20,28683.0,4710.0,15631.0
13,1002042,baseline,rule_based,13484.0,27729.0,0.6388888888888888,0.7277777777777777,0.7081081081081081,181.67175572519085,0,16,23799.0,3930.0,14245.0
14,1002043,baseline,rule_based,12260.0,26694.0,0.6555555555555556,0.7,0.6810810810810811,181.85714285714286,0,8,22914.0,3780.0,14434.0
15,1002044,baseline,rule_based,20216.0,37485.0,0.9055555555555556,0.9722222222222222,0.9459459459459459,184.2,0,12,32235.0,5250.0,17269.0
16,1002045,baseline,rule_based,18752.0,35265.0,0.8388888888888889,0.9166666666666666,0.8918918918918919,183.72727272727272,0,14,30315.0,4950.0,16513.0
17,1002046,baseline,rule_based,21449.0,38718.0,0.9055555555555556,1.011111111111111,0.9837837837837838,182.73626373626374,0,19,33258.0,5460.0,17269.0
18,1002047,baseline,rule_based,20474.0,37743.0,0.9055555555555556,0.9833333333333333,0.9567567567567568,183.23728813559322,0,14,32433.0,5310.0,17269.0
19,1002048,baseline,rule_based,18971.0,35673.0,0.8555555555555555,0.9277777777777778,0.9027027027027027,183.61077844311376,0,13,30663.0,5010.0,16702.0
20,1002049,baseline,rule_based,17696.0,33453.0,0.7722222222222223,0.8722222222222222,0.8486486486486486,183.0764331210191,0,18,28743.0,4710.0,15757.0
21,1002050,baseline,rule_based,18449.0,34647.0,0.8111111111111111,0.9055555555555556,0.8810810810810811,182.55828220858896,0,17,29757.0,4890.0,16198.0
22,1002051,baseline,rule_based,18848.0,34857.0,0.7944444444444444,0.9055555555555556,0.8810810810810811,183.84662576687117,0,20,29967.0,4890.0,16009.0
23,1002052,baseline,rule_based,19001.0,35514.0,0.8388888888888889,0.9222222222222223,0.8972972972972973,183.93975903614458,0,15,30534.0,4980.0,16513.0
24,1002053,baseline,rule_based,13511.0,28008.0,0.6611111111111111,0.7333333333333333,0.7135135135135136,182.1818181818182,0,13,24048.0,3960.0,14497.0
25,1002054,baseline,rule_based,17726.0,33672.0,0.7888888888888889,0.8777777777777778,0.8540540540540541,183.1139240506329,0,16,28932.0,4740.0,15946.0
26,1002055,baseline,rule_based,18944.0,35205.0,0.8166666666666667,0.9166666666666666,0.8918918918918919,183.36363636363637,0,18,30255.0,4950.0,16261.0
27,1002056,baseline,rule_based,17534.0,33354.0,0.7777777777777778,0.8666666666666667,0.8432432432432433,183.80769230769232,0,16,28674.0,4680.0,15820.0
28,1002057,baseline,rule_based,16637.0,32268.0,0.7611111111111111,0.8444444444444444,0.8216216216216217,182.28947368421052,0,15,27708.0,4560.0,15631.0
29,1002058,baseline,rule_based,18599.0,34608.0,0.7944444444444444,0.9,0.8756756756756757,183.62962962962962,0,19,29748.0,4860.0,16009.0
30,1002059,baseline,rule_based,14912.0,30228.0,0.7333333333333333,0.7888888888888889,0.7675675675675676,182.8732394366197,0,10,25968.0,4260.0,15316.0
31,1002060,baseline,rule_based,19295.0,35871.0,0.8444444444444444,0.9388888888888889,0.9135135135135135,182.25443786982248,0,17,30801.0,5070.0,16576.0
32,1002061,baseline,rule_based,18158.0,34419.0,0.8166666666666667,0.8944444444444445,0.8702702702702703,183.7826086956522,0,14,29589.0,4830.0,16261.0
33,1002062,baseline,rule_based,17576.0,32577.0,0.7055555555555556,0.85,0.827027027027027,182.92156862745097,0,26,27987.0,4590.0,15001.0
34,1002063,baseline,rule_based,18197.0,33891.0,0.7666666666666667,0.8833333333333333,0.8594594594594595,183.1509433962264,0,21,29121.0,4770.0,15694.0
35,1002064,baseline,rule_based,16037.0,31542.0,0.75,0.8222222222222222,0.8,183.1216216216216,0,13,27102.0,4440.0,15505.0
36,1002065,baseline,rule_based,18950.0,34518.0,0.7555555555555555,0.9,0.8756756756756757,183.07407407407408,0,26,29658.0,4860.0,15568.0
37,1002066,baseline,rule_based,20189.0,36639.0,0.8333333333333334,0.95,0.9243243243243243,184.26315789473685,0,21,31509.0,5130.0,16450.0
38,1002067,baseline,rule_based,15194.0,30825.0,0.7611111111111111,0.8055555555555556,0.7837837837837838,182.58620689655172,0,8,26475.0,4350.0,15631.0
39,1002068,baseline,rule_based,15566.0,30567.0,0.7055555555555556,0.7944444444444444,0.772972972972973,183.75524475524475,0,16,26277.0,4290.0,15001.0
40,1002069,baseline,rule_based,18536.0,34608.0,0.8,0.9,0.8756756756756757,183.62962962962962,0,18,29748.0,4860.0,16072.0
41,1002070,baseline,rule_based,19535.0,35922.0,0.8277777777777777,0.9333333333333333,0.9081081081081082,183.82142857142858,0,19,30882.0,5040.0,16387.0
42,1002071,baseline,rule_based,19376.0,35763.0,0.8277777777777777,0.9277777777777778,0.9027027027027027,184.14970059880238,0,18,30753.0,5010.0,16387.0
43,1002072,baseline,rule_based,17351.0,33801.0,0.8333333333333334,0.8833333333333333,0.8594594594594595,182.58490566037736,0,9,29031.0,4770.0,16450.0
44,1002073,baseline,rule_based,13166.0,27978.0,0.6888888888888889,0.7333333333333333,0.7135135135135136,181.95454545454547,0,8,24018.0,3960.0,14812.0
45,1002074,baseline,rule_based,18695.0,35334.0,0.85,0.9222222222222223,0.8972972972972973,182.85542168674698,0,13,30354.0,4980.0,16639.0
46,1002075,baseline,rule_based,19724.0,35922.0,0.8111111111111111,0.9333333333333333,0.9081081081081082,183.82142857142858,0,22,30882.0,5040.0,16198.0
47,1002076,baseline,rule_based,16598.0,32040.0,0.7444444444444445,0.8333333333333334,0.8108108108108109,183.6,0,16,27540.0,4500.0,15442.0
48,1002077,baseline,rule_based,16478.0,31542.0,0.7111111111111111,0.8222222222222222,0.8,183.1216216216216,0,20,27102.0,4440.0,15064.0
49,1002078,baseline,rule_based,14882.0,29820.0,0.7,0.7777777777777778,0.7567567567567568,183.0,0,14,25620.0,4200.0,14938.0
50,1002079,baseline,rule_based,17891.0,33522.0,0.7611111111111111,0.8777777777777778,0.8540540540540541,182.16455696202533,0,21,28782.0,4740.0,15631.0
51,1002080,baseline,rule_based,14912.0,30228.0,0.7333333333333333,0.7888888888888889,0.7675675675675676,182.8732394366197,0,10,25968.0,4260.0,15316.0
52,1002081,baseline,rule_based,17786.0,33921.0,0.8055555555555556,0.8833333333333333,0.8594594594594595,183.33962264150944,0,14,29151.0,4770.0,16135.0
53,1002082,baseline,rule_based,13169.0,27729.0,0.6666666666666666,0.7277777777777777,0.7081081081081081,181.67175572519085,0,11,23799.0,3930.0,14560.0
54,1002083,baseline,rule_based,18887.0,34707.0,0.7777777777777778,0.9055555555555556,0.8810810810810811,182.92638036809817,0,23,29817.0,4890.0,15820.0
